Afton Alps,Minnesota,Minnesota,1530,350,1180,0,0,0,1,3,14,4,22,48.0,5.0,0.5,250.0,250.0,135.0,56.0,60.0,55.0,60.0,135.0,250.0,0.355872
Alpine Valley Resort,Wisconsin,Wisconsin,1040,388,820,0,0,3,0,3,1,5,12,21.0,3.0,0.2,90.0,90.0,100.0,55.0,80.0,56.0,65.0,120.0,90.0,0.355872
Snow Ridge,New York,New York,2000,650,1350,0,0,0,0,0,4,2,6,21.0,2.0,0.8,130.0,65.0,73.0,74.0,230.0,38.0,48.0,100.0,40.0,0.355872
Snow King Resort,Wyoming,Wyoming,7808,1571,6237,0,0,0,1,1,1,0,3,32.0,2.0,1.0,400.0,250.0,121.0,80.0,300.0,59.0,59.0,123.0,110.0,0.355872
Snow Creek,Missouri,Missouri,1100,300,800,0,0,0,0,2,1,2,5,14.0,2.0,0.3,30.0,30.0,69.0,33.0,20.0,37.0,47.0,85.0,30.0,0.355872
Ski Sundown,Connecticut,Connecticut,1075,625,450,0,0,0,0,3,0,2,5,16.0,2.0,1.0,70.0,70.0,84.0,50.0,45.0,62.0,62.0,95.0,66.0,0.355872
Ski Snowstar Winter Sports Park,Illinois,Illinois,790,262,528,0,0,0,2,0,2,2,6,15.0,1.0,0.8,28.0,28.0,56.0,38.0,38.0,25.0,35.0,86.0,28.0,0.355872
Ski Granby Ranch,Colorado,Colorado,9202,1000,8202,0,0,2,0,1,1,1,5,40.0,1.0,0.6,406.0,170.0,116.0,36.0,220.0,84.0,84.0,92.0,100.0,0.355872
Ski Brule,Michigan,Michigan,1860,500,1360,0,0,0,0,0,5,7,12,17.0,3.0,1.0,150.0,150.0,164.0,62.0,150.0,49.0,49.0,165.0,40.0,0.355872
Ski Big Bear,Pennsylvania,Pennsylvania,1250,650,600,0,0,0,0,0,4,2,6,18.0,1.0,1.5,26.0,26.0,75.0,43.0,69.0,50.0,62.0,75.0,26.0,0.355872
Silver Mountain,Idaho,Idaho,6300,2200,4100,1,0,0,1,2,2,1,7,80.0,2.0,2.5,1600.0,225.0,130.0,29.0,300.0,57.0,62.0,193.0,20.0,0.355872
Shawnee Peak,Maine,Maine,1900,1350,600,0,0,0,1,2,1,2,6,43.0,3.0,0.8,239.0,234.0,97.0,81.0,110.0,55.0,75.0,103.0,110.0,0.355872
Shawnee Mountain Ski Area,Pennsylvania,Pennsylvania,1350,700,650,0,0,1,1,0,4,4,10,23.0,2.0,1.6,125.0,125.0,100.0,44.0,50.0,55.0,65.0,122.0,120.0,0.355872
Seven Springs,Pennsylvania,Pennsylvania,2994,750,2240,0,2,0,3,5,0,4,14,33.0,7.0,1.2,285.0,285.0,99.0,87.0,135.0,67.0,87.0,115.0,200.0,0.355872
Seven Oaks,Iowa,Iowa,975,275,800,0,0,0,0,2,0,2,4,11.0,2.0,1.0,35.0,35.0,100.0,22.0,40.0,40.0,40.0,100.0,35.0,0.355872
Schuss Mountain at Shanty Creek,Michigan,Michigan,1125,450,675,0,0,0,5,0,0,3,8,42.0,3.0,1.0,70.0,70.0,94.0,57.0,160.0,58.0,78.0,111.0,70.0,0.355872
Powder Ridge Park,Connecticut,Connecticut,720,550,170,0,0,0,0,1,2,2,5,19.0,4.0,0.5,80.0,68.0,80.0,60.0,80.0,45.0,55.0,100.0,40.0,0.355872
Perfect North Slopes,Indiana,Indiana,800,400,400,0,0,0,2,3,0,6,11,23.0,2.0,1.0,100.0,100.0,82.0,39.0,24.0,52.0,52.0,90.0,100.0,0.355872
Pebble Creek Ski Area,Idaho,Idaho,8560,2200,6360,0,0,0,0,3,0,0,3,54.0,2.0,1.3,1100.0,30.0,85.0,70.0,250.0,47.0,47.0,91.0,30.0,0.355872
Pats Peak,New Hampshire,New Hampshire,1460,770,690,0,0,0,0,4,2,5,11,28.0,3.0,1.5,115.0,115.0,109.0,56.0,100.0,58.0,72.0,112.0,93.0,0.355872
